index,content_type,avg_score,critique,scores
22,ecommerce_long_form,5.0,专业性强，信息清晰，信任感高,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业性强，信息清晰，信任感高'}"
23,paid_ad_cta,5.0,钩子极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '钩子极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。'}"
24,paid_ad_pas,4.8,极具冲击力的痛点描述和科学解决方案，完美契合品牌理念和目标受众需求。,"{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的痛点描述和科学解决方案，完美契合品牌理念和目标受众需求。'}"
25,paid_ad_bab,4.4,文案结构清晰，情感与理性结合得当，但CTA部分可以更强烈一些。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案结构清晰，情感与理性结合得当，但CTA部分可以更强烈一些。'}"
26,paid_ad_fab,3.8,文案信息丰富但略显冗长，部分细节可能不适合快速滑动的信息流广告场景。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '文案信息丰富但略显冗长，部分细节可能不适合快速滑动的信息流广告场景。'}"
27,social_media_review,4.5,真实感强，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}"
28,social_media_educational,5.0,专业科普与情感共鸣完美结合,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普与情感共鸣完美结合'}"
29,social_media_myth_busting,4.75,专业且引人入胜的护肤科普,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且引人入胜的护肤科普'}"
30,social_media_storytelling,4.5,真实感强，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}"
31,ecommerce_long_form,5.0,专业精准，价值清晰,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业精准，价值清晰'}"
32,paid_ad_cta,5.0,极具冲击力的开头迅速抓住注意力，完美遵循指令并准确传达产品核心利益点。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的开头迅速抓住注意力，完美遵循指令并准确传达产品核心利益点。'}"
33,paid_ad_pas,5.0,文案极具冲击力，能迅速激发好奇心或击中痛点，让我不点就难受。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极具冲击力，能迅速激发好奇心或击中痛点，让我不点就难受。'}"
34,paid_ad_bab,4.8,文案简洁有力，完美遵循了‘之前-之后-桥梁’风格，但点击吸引力可以进一步提升以更强烈地激发好奇心。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，完美遵循了‘之前-之后-桥梁’风格，但点击吸引力可以进一步提升以更强烈地激发好奇心。'}"
35,paid_ad_fab,4.8,文案简洁有力，特点-优势-好处结构清晰，CTA明确且与内容紧密结合。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，特点-优势-好处结构清晰，CTA明确且与内容紧密结合。'}"
36,social_media_review,5.0,真实感强，品牌契合度高,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}"
37,social_media_educational,4.0,科普性强但故事性弱,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '科普性强但故事性弱'}"
38,social_media_myth_busting,4.75,专业与真实感兼具,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业与真实感兼具'}"
39,social_media_storytelling,4.5,真实感强，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}"
40,ecommerce_long_form,5.0,专业性强，信息清晰，信任感高,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业性强，信息清晰，信任感高'}"
41,paid_ad_cta,5.0,极具冲击力的开头和明确的行动号召，完美符合信息流广告的短平快要求。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的开头和明确的行动号召，完美符合信息流广告的短平快要求。'}"
42,paid_ad_pas,5.0,文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。'}"
43,paid_ad_bab,4.8,文案极具冲击力，能迅速激发好奇心或击中痛点，让我不点就难受。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极具冲击力，能迅速激发好奇心或击中痛点，让我不点就难受。'}"
44,paid_ad_fab,4.0,文案信息准确且遵循指令，但点击吸引力和行动号召有效性有待提升，缺乏更具冲击力的开头和明确的行动引导。,"{'score_suitability_brevity': 4, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案信息准确且遵循指令，但点击吸引力和行动号召有效性有待提升，缺乏更具冲击力的开头和明确的行动引导。'}"
45,social_media_review,4.5,真实感强，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}"
46,social_media_educational,4.75,专业科普，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，品牌契合度高'}"
47,social_media_myth_busting,4.75,专业与情感完美融合,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业与情感完美融合'}"
48,social_media_storytelling,4.5,真实感强，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}"
49,ecommerce_long_form,5.0,专业性强，信息清晰，信任感高,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业性强，信息清晰，信任感高'}"
50,paid_ad_cta,5.0,极具冲击力的开头和明确的行动号召，完美适配信息流广告的阅读场景。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的开头和明确的行动号召，完美适配信息流广告的阅读场景。'}"
51,paid_ad_pas,5.0,痛点放大极具冲击力，能迅速抓住敏感肌用户的注意力,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '痛点放大极具冲击力，能迅速抓住敏感肌用户的注意力'}"
52,paid_ad_bab,4.6,文案精准击中目标用户的痛点，极具吸引力，但行动号召（CTA）部分可以更明确和有力。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案精准击中目标用户的痛点，极具吸引力，但行动号召（CTA）部分可以更明确和有力。'}"
53,paid_ad_fab,4.4,文案简洁有力，核心信息突出，但CTA可以更具吸引力。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，核心信息突出，但CTA可以更具吸引力。'}"
54,social_media_review,4.5,真实感强，互动潜力高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '真实感强，互动潜力高'}"
55,social_media_educational,4.75,专业科普，高度契合品牌,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，高度契合品牌'}"
56,social_media_myth_busting,4.75,专业科普，触动人心,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，触动人心'}"
57,social_media_storytelling,4.5,真实感强，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}"
58,ecommerce_long_form,5.0,专业清晰，信任感强,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业清晰，信任感强'}"
59,paid_ad_cta,5.0,文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。'}"
60,paid_ad_pas,5.0,文案极具冲击力，能迅速激发好奇心或击中痛点，让我不点就难受。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极具冲击力，能迅速激发好奇心或击中痛点，让我不点就难受。'}"
61,paid_ad_bab,4.4,文案极具点击吸引力，能迅速激发好奇心并击中痛点，但行动号召（CTA）部分略显薄弱，缺乏明确的引导动作。,"{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极具点击吸引力，能迅速激发好奇心并击中痛点，但行动号召（CTA）部分略显薄弱，缺乏明确的引导动作。'}"
62,paid_ad_fab,4.4,文案简洁且信息高度压缩，但CTA部分可以更具冲击力。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁且信息高度压缩，但CTA部分可以更具冲击力。'}"
63,social_media_review,4.5,真实感强，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}"
64,social_media_educational,5.0,专业科普与情感共鸣完美结合,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普与情感共鸣完美结合'}"
65,social_media_storytelling,5.0,真实动人，专业与情感完美融合,"{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实动人，专业与情感完美融合'}"
66,ecommerce_long_form,4.666666666666667,专业性强，信息清晰,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 4, 'critique': '专业性强，信息清晰'}"
67,paid_ad_cta,5.0,极具冲击力的开头和明确的行动号召，完美符合信息流广告的要求。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的开头和明确的行动号召，完美符合信息流广告的要求。'}"
68,paid_ad_pas,4.8,文案简洁有力，痛点放大解决结构清晰，但点击吸引力可进一步提升。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，痛点放大解决结构清晰，但点击吸引力可进一步提升。'}"
69,paid_ad_bab,2.6,灾难性的冗长，完全不适合作为付费广告,"{'score_suitability_brevity': 1, 'score_click_appeal': 3, 'score_cta_effectiveness': 1, 'score_factual_accuracy': 5, 'score_instruction_following': 3, 'critique': '灾难性的冗长，完全不适合作为付费广告'}"
70,paid_ad_fab,4.8,文案简洁有力，核心成分和功效一目了然，CTA明确且有说服力。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，核心成分和功效一目了然，CTA明确且有说服力。'}"
71,social_media_review,4.5,真实反馈，专业与情感平衡,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '真实反馈，专业与情感平衡'}"
72,social_media_educational,4.75,专业科普，情感共鸣,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，情感共鸣'}"
73,social_media_myth_busting,4.75,专业科普与品牌调性完美融合,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普与品牌调性完美融合'}"
74,social_media_storytelling,4.75,专业且引人入胜的使用故事,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且引人入胜的使用故事'}"
75,ecommerce_long_form,4.333333333333333,专业且清晰，信任感稍欠,"{'score_professionalism_persuasion': 4, 'score_clarity_value': 5, 'score_trust_building': 4, 'critique': '专业且清晰，信任感稍欠'}"
76,paid_ad_cta,5.0,极具冲击力的钩子，能迅速激发好奇心并击中痛点。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的钩子，能迅速激发好奇心并击中痛点。'}"
77,paid_ad_pas,5.0,极具冲击力的痛点放大和精准的科学配方描述，完美符合品牌人格和理念。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的痛点放大和精准的科学配方描述，完美符合品牌人格和理念。'}"
78,paid_ad_bab,4.0,文案在点击吸引力方面表现良好，能够有效描绘痛点并展示产品效果，但行动号召部分可以更加强烈和明确。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案在点击吸引力方面表现良好，能够有效描绘痛点并展示产品效果，但行动号召部分可以更加强烈和明确。'}"
79,paid_ad_fab,4.2,文案简洁有力，科学配方与双重功效的表述极具吸引力，但CTA部分略显模板化，缺乏更强的行动驱动力。,"{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，科学配方与双重功效的表述极具吸引力，但CTA部分略显模板化，缺乏更强的行动驱动力。'}"
80,social_media_review,4.5,专业真实，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业真实，品牌契合度高'}"
81,social_media_educational,4.25,科普性强，品牌契合度高,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '科普性强，品牌契合度高'}"
82,social_media_myth_busting,4.0,专业与真实感平衡良好,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '专业与真实感平衡良好'}"
83,social_media_storytelling,4.5,情感真挚，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '情感真挚，品牌契合度高'}"
84,ecommerce_long_form,5.0,专业严谨，信息清晰可信,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业严谨，信息清晰可信'}"
85,paid_ad_cta,5.0,钩子极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '钩子极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。'}"
86,paid_ad_pas,5.0,极具冲击力的痛点放大，迅速激发点击欲望,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力的痛点放大，迅速激发点击欲望'}"
87,paid_ad_bab,4.6,文案极具冲击力，能迅速激发好奇心或击中痛点，但行动号召（CTA）较弱，缺乏明确的点击引导。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极具冲击力，能迅速激发好奇心或击中痛点，但行动号召（CTA）较弱，缺乏明确的点击引导。'}"
88,paid_ad_fab,4.8,文案简洁有力，核心信息突出，行动号召明确，但点击吸引力可进一步提升。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，核心信息突出，行动号召明确，但点击吸引力可进一步提升。'}"
89,social_media_review,4.5,真实反馈，专业与感性平衡,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '真实反馈，专业与感性平衡'}"
90,social_media_educational,4.75,专业科普，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普，品牌契合度高'}"
91,social_media_myth_busting,4.75,专业科普与品牌理念完美融合,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普与品牌理念完美融合'}"
92,social_media_storytelling,4.5,专业与真实感并存,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业与真实感并存'}"
93,ecommerce_long_form,5.0,专业严谨，信息清晰，信任感强,"{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业严谨，信息清晰，信任感强'}"
94,paid_ad_cta,5.0,文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合信息流广告的短平快要求。'}"
95,paid_ad_pas,5.0,文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合痛点-放大-解决风格。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极具冲击力，能迅速激发好奇心并击中痛点，完美符合痛点-放大-解决风格。'}"
96,paid_ad_bab,4.8,痛点精准化，直接击中都市人因压力和作息导致的肤色问题，引发共鸣。,"{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '痛点精准化，直接击中都市人因压力和作息导致的肤色问题，引发共鸣。'}"
97,paid_ad_fab,3.8,文案缺乏明确的行动号召（CTA），未能有效引导用户点击,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 2, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案缺乏明确的行动号召（CTA），未能有效引导用户点击'}"
98,social_media_review,4.5,真实感强，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}"
99,social_media_educational,4.75,科普性强，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '科普性强，品牌契合度高'}"
100,social_media_myth_busting,4.75,专业科普与品牌理念完美融合,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业科普与品牌理念完美融合'}"
101,social_media_storytelling,4.75,专业且引人入胜的护肤故事,"{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且引人入胜的护肤故事'}"
102,ecommerce_long_form,4.333333333333333,专业且清晰，信任感强,"{'score_professionalism_persuasion': 4, 'score_clarity_value': 5, 'score_trust_building': 4, 'critique': '专业且清晰，信任感强'}"
